sample_id,location_lat,location_lon,sample_date,biodiversity_index,species_richness,genetic_diversity,dominant_species
EDNA001,11.209943490231414,75.31362786364238,2023-01-15,0.75,12,0.68,Thunnus albacares
EDNA002,14.374799565243748,67.9153584965293,2023-01-20,0.82,15,0.72,Scomberomorus commerson
EDNA003,18.003098385988928,71.83721784048899,2023-01-25,0.69,10,0.65,Lutjanus argentimaculatus
EDNA004,19.870540307185365,64.67812256512023,2023-02-01,0.78,13,0.7,Epinephelus coioides
EDNA005,11.75724840951732,71.80753444572153,2023-02-05,0.85,18,0.75,Rastrelliger kanagurta
EDNA006,11.430905735739165,71.76035953527946,2023-02-10,0.71,11,0.67,Thunnus albacares
EDNA007,11.706285956596828,75.1626273324063,2023-02-15,0.79,14,0.71,Scomberomorus commerson
EDNA008,20.040318856753945,64.7331901817975,2023-02-20,0.66,9,0.63,Lutjanus argentimaculatus
EDNA009,18.090636908894908,72.99293592689544,2023-03-01,0.77,12,0.69,Epinephelus coioides
EDNA010,19.44979895603529,65.0595377522261,2023-03-05,0.83,16,0.74,Rastrelliger kanagurta
EDNA011,12.118227024500117,71.66832041381306,2023-03-10,0.72,10,0.66,Thunnus albacares
EDNA012,11.355130503255893,74.84891662501143,2023-03-15,0.76,13,0.68,Scomberomorus commerson
EDNA013,17.903170873859768,72.67413604776924,2023-03-20,0.81,15,0.73,Lutjanus argentimaculatus
EDNA014,22.567969771767995,69.92262547733473,2023-04-01,0.68,8,0.62,Epinephelus coioides
EDNA015,19.92914473066305,64.81764319205413,2023-04-05,0.87,20,0.78,Rastrelliger kanagurta
EDNA016,11.877091882117426,71.71175129818157,2023-04-10,0.74,11,0.67,Thunnus albacares
EDNA017,11.13798584008012,74.11441473172249,2023-04-15,0.8,14,0.72,Scomberomorus commerson
EDNA018,18.048552558877226,73.03904080589612,2023-04-20,0.73,12,0.69,Lutjanus argentimaculatus
EDNA019,18.064618959587936,72.6045904436779,2023-05-01,0.75,10,0.65,Epinephelus coioides
EDNA020,17.96119111820439,72.05538858824714,2023-05-05,0.84,17,0.76,Rastrelliger kanagurta
EDNA021,12.146480399501623,72.09976176943437,2023-05-10,0.7,9,0.64,Thunnus albacares
EDNA022,22.018760299020915,70.02918872003592,2023-05-15,0.78,13,0.7,Scomberomorus commerson
EDNA023,21.944551421452505,69.95040873383915,2023-05-20,0.82,16,0.74,Lutjanus argentimaculatus
EDNA024,22.445033326550003,69.824498339715,2023-06-01,0.67,7,0.61,Epinephelus coioides
EDNA025,22.57016524598731,70.05710821368295,2023-06-05,0.86,19,0.77,Rastrelliger kanagurta
EDNA026,19.404450879977738,65.251187258518,2023-06-10,0.72,10,0.66,Thunnus albacares
EDNA027,17.973002197867537,72.96386687502415,2023-06-15,0.79,15,0.72,Scomberomorus commerson
EDNA028,12.296278829578887,72.53096336721808,2023-06-20,0.74,11,0.68,Lutjanus argentimaculatus
EDNA029,12.568033064133239,71.97378823836893,2023-07-01,0.76,12,0.69,Epinephelus coioides
EDNA030,22.47809699759462,70.55061026696042,2023-07-05,0.88,21,0.79,Rastrelliger kanagurta
EDNA031,11.726880022758113,72.04014432563136,2023-07-10,0.71,9,0.65,Thunnus albacares
EDNA032,22.236303045905142,70.27746057446423,2023-07-15,0.77,14,0.71,Scomberomorus commerson
EDNA033,12.79018277874058,71.60948351751288,2023-07-20,0.83,17,0.75,Lutjanus argentimaculatus
EDNA034,12.085539822110736,72.29906016689011,2023-08-01,0.69,8,0.63,Epinephelus coioides
EDNA035,19.438715449205596,65.00666671897845,2023-08-05,0.85,18,0.76,Rastrelliger kanagurta
EDNA036,15.483599909840962,68.49141288679911,2023-08-10,0.73,10,0.67,Thunnus albacares
EDNA037,22.316172323352852,69.82160816277057,2023-08-15,0.8,15,0.73,Scomberomorus commerson
EDNA038,12.007612475826456,71.98353134192214,2023-08-20,0.75,12,0.7,Lutjanus argentimaculatus
EDNA039,18.254149290035908,72.62840348725511,2023-09-01,0.78,13,0.71,Epinephelus coioides
EDNA040,17.988115939614403,72.282905089002,2023-09-05,0.87,20,0.78,Rastrelliger kanagurta
EDNA041,11.49116422216877,71.5452582512358,2023-09-10,0.7,8,0.64,Thunnus albacares
EDNA042,17.88288799306806,72.66694236840833,2023-09-15,0.76,12,0.68,Scomberomorus commerson
EDNA043,11.823905196808978,71.56759298915794,2023-09-20,0.81,16,0.74,Lutjanus argentimaculatus
EDNA044,11.2523497503894,72.26484000120684,2023-10-01,0.68,7,0.62,Epinephelus coioides
EDNA045,22.20380245503128,70.30359580131864,2023-10-05,0.84,17,0.75,Rastrelliger kanagurta
